Ref,Val,Package,PosX,PosY,Rot,Side
"J1","USB_A","USB_A_PCB_Edge_receptacle",216.000000,-46.600000,-90.000000,bottom
"REF**","cybdokey","cybdokey",218.916486,-55.496660,180.000000,bottom
